purchase_month,revenue,orders,customers,aov
2016-09,207.86,2,2,103.93
2016-10,44145.3,288,285,153.28
2016-12,10.9,1,1,10.9
2017-01,117781.71,778,744,151.39
2017-02,239059.29,1685,1662,141.87
2017-03,363601.87,2594,2554,140.17
2017-04,347879.93,2366,2334,147.03
2017-05,499417.22,3617,3548,138.07
2017-06,427600.89,3193,3130,133.92
2017-07,490801.42,3935,3863,124.73
2017-08,563911.91,4254,4173,132.56
2017-09,617593.91,4205,4132,146.87
2017-10,656134.23,4527,4461,144.94
2017-11,999310.64,7396,7288,135.12
2017-12,734276.94,5583,5516,131.52
2018-01,941460.24,7158,7060,131.53
2018-02,836995.36,6618,6462,126.47
2018-03,979076.52,7159,7068,136.76
2018-04,992085.38,6911,6855,143.55
2018-05,992126.4,6827,6769,145.32
2018-06,863265.53,6145,6106,140.48
2018-07,878003.37,6232,6171,140.89
2018-08,848860.1,6421,6380,132.2
2018-09,145.0,1,1,145.0
