customer_state,revenue,customers,avg_delivery_days
SP,5135786.71,39617,8.2
RJ,1804283.24,12210,14.48
MG,1568278.24,11105,11.43
RS,740534.55,5220,14.66
PR,674289.63,4810,11.42
SC,514328.32,3487,14.32
BA,504829.36,3234,18.43
DF,300274.96,2050,12.31
GO,286803.8,1929,14.88
ES,273448.63,1948,15.17
PE,259461.64,1590,17.53
CE,224873.28,1296,20.2
PA,178322.23,942,22.81
MT,155704.53,871,17.3
MA,119291.62,715,20.57
MS,116258.85,684,15.1
PB,114464.3,514,19.5
PI,86031.19,475,18.56
RN,82909.08,470,18.55
AL,80066.12,396,23.39
SE,58920.85,338,20.42
TO,49328.99,270,17.04
RO,45807.76,232,18.84
AM,22356.84,142,25.63
AC,15982.95,77,20.38
AP,13374.81,66,26.73
RR,7739.44,44,26.4
