customer_unique_id,total_orders,total_spend,days_since_last,churn_flag
0a0a92112bd4c708ca5fde585afaa872,1,13440.0,383,High Risk
da122df9eeddfedc1dc1f5349a1a690c,2,7388.0,564,High Risk
763c8b1c9c68a0229c42c9fc6f662b93,1,7160.0,94,Active
dc4802a71eae9be1dd28f5d788ceb526,1,6735.0,611,High Risk
459bef486812aa25204be022145caa62,1,6729.0,83,Active
ff4159b92c40ebe40454e3e6a7c35ed6,1,6499.0,510,High Risk
4007669dec559734d6f53e029e360987,1,5934.6,327,High Risk
eebb5dda148d3893cdaf5b5ca3040ccb,1,4690.0,546,High Risk
5d0a2980b292d049061542014e8960bf,1,4599.9,97,Active
48e1ac109decbb87765a3eade6854098,1,4590.0,117,Active
a229eba70ec1c2abef51f04987deb7a5,1,4400.0,138,High Risk
edde2314c6c30e864a128ac95d6b2112,1,4399.87,74,Active
fa562ef24d41361e476e748681810e1e,1,4099.99,202,High Risk
c8460e4251689ba205045f3ea17884a1,4,4080.0,70,Active
ca27f3dac28fb1063faddd424c9d95fa,1,4059.0,80,Active
055ec572ac7f3c7bdd04a183830ebe59,2,3999.98,455,High Risk
011875f0176909c5cf0b14a9138bb691,1,3999.9,577,High Risk
edf81e1f3070b9dac83ec83dacdbb9bc,1,3999.0,546,High Risk
5e713be0853d8986528d7869a0811d2b,1,3980.0,619,High Risk
f0767ae738c3d90e7b737d7b8b8bb4d1,1,3930.0,156,High Risk
58483a1c055dfb600f57c5b867174542,1,3899.0,134,High Risk
3fec1a05177762f279472253113d568a,1,3700.0,210,High Risk
5d09b0d82126457e2a8ebfb9c9a1ffc4,1,3699.99,614,High Risk
bc5e25094a7d51b6aee35236572e64f4,1,3690.0,264,High Risk
931eabdf0636b8fd60369a8d759917d6,1,3597.0,525,High Risk
03796b63235e0e0a299084988c662c7e,1,3549.0,602,High Risk
59d66d72939bc9497e19d89c61a96d5f,2,3459.0,432,High Risk
2c3b08cf3584d8c0a81d9618a73aa219,1,3399.99,191,High Risk
76a08544f95591acec0d4c976054c459,1,3300.0,248,High Risk
9b11e010850a4045d2da80c7783fdbd1,1,3198.0,132,High Risk
7a96eb0a685f5c19b7dad29fc802aa64,1,3124.0,304,High Risk
46450c74a0d8c5ca9395da1daac6c120,3,3109.99,60,Active
bbeb907759ef5fc169099af3c88d535d,1,3105.0,173,High Risk
53fb3435773a4690e56010b169ee2820,1,3099.9,250,High Risk
1b76903617af13189607a36b0469f6f3,1,3099.75,148,High Risk
ce3fe361f9e68bf0a813baaae1334d01,1,3099.0,63,Active
95a744604de66a2e40e18086e69be4f2,1,3089.0,103,Active
895617ab63a9ad8881d9470f7427cd25,1,2999.99,376,High Risk
c6111f70f40b3420e387493c627c27fa,1,2999.99,372,High Risk
58c1b085b54c03a1f1ab5f13d64c2b1c,2,2999.98,395,High Risk
f886a3f43af9ac928fbb4b56436c528c,1,2999.9,63,Active
0f75637a7e2f7b6ae43665d1f7d0ca5d,1,2999.89,587,High Risk
2ae8173a688e326821403a5b7a6858c2,1,2999.89,575,High Risk
6172bd5b7f52ade8c6c4548b448ff54f,1,2999.89,468,High Risk
ea984b06b18cc6905bc2f9b0a3d1c986,1,2999.89,569,High Risk
ff0ae98646e7bbb41cf0f0d3991fef98,1,2999.89,498,High Risk
ee2bb06c1d3f368e92084edefb7e4b57,1,2999.0,624,High Risk
6f00d356a4be20527662aaf12116baab,1,2990.0,330,High Risk
ae04948ad7210ea76801b331080e0b3a,1,2951.0,560,High Risk
be825ddd3b40db3f91bf05b4e9435d56,1,2920.0,127,High Risk
adfa1cab2b2c8706db21bb13c0a1beb1,1,2919.4,137,High Risk
129bfc164612d70a040a844b887dfec5,1,2899.0,213,High Risk
d9f8d6be11fb416742c9e35e725303f7,1,2899.0,331,High Risk
5599df2eeb9e2e4f377db24e09cb976f,1,2874.0,350,High Risk
ef8d54b3797ea4db1d63f0ced6a906e9,1,2849.9,181,High Risk
c38b132f1c68c14c0d3b32e66b796eba,1,2799.65,194,High Risk
c21e93b1d7b7a416d0f36fa6ebc1d60a,1,2799.0,518,High Risk
34ff67eb3466a779b2f6b6fd56a3b953,1,2749.65,138,High Risk
25bedfc6317ec4a379ef49b9c1049733,1,2749.0,172,High Risk
030a810edeec1ceea314282513023587,1,2740.0,526,High Risk
0de97ff655abfc142ba6fc83e86bf082,1,2700.0,318,High Risk
ec5d2f91c651ce345616c7035fab6f9d,1,2700.0,324,High Risk
4683ad127301c1bcbd601a30bb22d2ba,1,2699.0,172,High Risk
